,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
77,{'mean_absolute_error': 0.4366933799639938},{'mean_absolute_error': 1.1848161021175474},{'mean_absolute_error': 0.4900249686480196},{'mean_absolute_error': 1.0670144353522775},{'mean_absolute_error': 0.3986477320256052},{'mean_absolute_error': 1.151067846783563}
78,{'mean_absolute_error': 0.4514507701468897},{'mean_absolute_error': 1.1986797287885846},{'mean_absolute_error': 0.4709932548210151},{'mean_absolute_error': 1.0749200543914423},{'mean_absolute_error': 0.4620741911288477},{'mean_absolute_error': 1.1077763870720716}
79,{'mean_absolute_error': 0.40540646389993185},{'mean_absolute_error': 1.1984793143424173},{'mean_absolute_error': 0.43745206566667794},{'mean_absolute_error': 1.115874157479842},{'mean_absolute_error': 0.42933632564171276},{'mean_absolute_error': 1.169265171335057}
80,{'mean_absolute_error': 0.361399486294558},{'mean_absolute_error': 1.1615988559758181},{'mean_absolute_error': 0.43087332675995854},{'mean_absolute_error': 1.115701668287321},{'mean_absolute_error': 0.41042196507102185},{'mean_absolute_error': 1.137937503408805}
81,{'mean_absolute_error': 0.37778241909996857},{'mean_absolute_error': 1.1476034473822965},{'mean_absolute_error': 0.40615986076478394},{'mean_absolute_error': 1.1110943917012113},{'mean_absolute_error': 0.42363429254867957},{'mean_absolute_error': 1.1219699369634057}
82,{'mean_absolute_error': 0.5895760553759264},{'mean_absolute_error': 1.277353209751427},{'mean_absolute_error': 0.4684237589353036},{'mean_absolute_error': 1.1547723497475495},{'mean_absolute_error': 0.41943583865549955},{'mean_absolute_error': 1.085705195279881}
83,{'mean_absolute_error': 0.35229338864171494},{'mean_absolute_error': 1.1703070538211149},{'mean_absolute_error': 0.4516574510853751},{'mean_absolute_error': 1.0821326337091206},{'mean_absolute_error': 0.3952155022038212},{'mean_absolute_error': 1.0958192935840672}
84,{'mean_absolute_error': 0.35647244628898783},{'mean_absolute_error': 1.1624152864088235},{'mean_absolute_error': 0.3920302843937706},{'mean_absolute_error': 1.093227446638587},{'mean_absolute_error': 0.47926812939528907},{'mean_absolute_error': 1.1270843318720887}
85,{'mean_absolute_error': 0.37864850726317606},{'mean_absolute_error': 1.1567704133679368},{'mean_absolute_error': 0.4148642626980629},{'mean_absolute_error': 1.107812639928227},{'mean_absolute_error': 0.37986645652554685},{'mean_absolute_error': 1.1316916691726502}
86,{'mean_absolute_error': 0.3604442886244755},{'mean_absolute_error': 1.1524316519936},{'mean_absolute_error': 0.42382065535489244},{'mean_absolute_error': 1.134809281896562},{'mean_absolute_error': 0.383832469673309},{'mean_absolute_error': 1.1392460481458992}
87,{'mean_absolute_error': 0.3364102414780497},{'mean_absolute_error': 1.171181235789227},{'mean_absolute_error': 0.4755584050810649},{'mean_absolute_error': 1.1234453936235507},{'mean_absolute_error': 0.3836237813377067},{'mean_absolute_error': 1.1314885411999762}
88,{'mean_absolute_error': 0.3804770423295056},{'mean_absolute_error': 1.1542191686929537},{'mean_absolute_error': 0.37331141751180763},{'mean_absolute_error': 1.1490112572688658},{'mean_absolute_error': 0.3716720912809644},{'mean_absolute_error': 1.153872773131668}
89,{'mean_absolute_error': 0.3543815395401746},{'mean_absolute_error': 1.1376852549233636},{'mean_absolute_error': 0.3821950203876549},{'mean_absolute_error': 1.1122584281876051},{'mean_absolute_error': 0.43224456166207237},{'mean_absolute_error': 1.1396861544053853}
90,{'mean_absolute_error': 0.418788111329851},{'mean_absolute_error': 1.14519888461035},{'mean_absolute_error': 0.3652651133511638},{'mean_absolute_error': 1.128196202407408},{'mean_absolute_error': 0.36457728998099265},{'mean_absolute_error': 1.079283193046249}
91,{'mean_absolute_error': 0.34292130404114296},{'mean_absolute_error': 1.1494125675672555},{'mean_absolute_error': 0.4272190714652919},{'mean_absolute_error': 1.1383433526078675},{'mean_absolute_error': 0.37409099056451117},{'mean_absolute_error': 1.116304636347882}
92,{'mean_absolute_error': 0.3735301370281216},{'mean_absolute_error': 1.146641579563386},{'mean_absolute_error': 0.36947403772275017},{'mean_absolute_error': 1.1481859870366866},{'mean_absolute_error': 0.33341699728927754},{'mean_absolute_error': 1.1523346916003872}
93,{'mean_absolute_error': 0.31656999954606985},{'mean_absolute_error': 1.164274341017459},{'mean_absolute_error': 0.3615273116924808},{'mean_absolute_error': 1.0995172822588997},{'mean_absolute_error': 0.3843692590552109},{'mean_absolute_error': 1.1312987746887806}
94,{'mean_absolute_error': 0.3082203518209951},{'mean_absolute_error': 1.1345891434903819},{'mean_absolute_error': 0.3704853467140472},{'mean_absolute_error': 1.140125314610787},{'mean_absolute_error': 0.3658973998950107},{'mean_absolute_error': 1.0803207533292023}
95,{'mean_absolute_error': 0.33662807010797824},{'mean_absolute_error': 1.1531870823169397},{'mean_absolute_error': 0.35735900252002695},{'mean_absolute_error': 1.1202423229464957},{'mean_absolute_error': 0.357164036670108},{'mean_absolute_error': 1.105221166589768}
96,{'mean_absolute_error': 0.3277751022349567},{'mean_absolute_error': 1.1765049622134613},{'mean_absolute_error': 0.40725703058764445},{'mean_absolute_error': 1.1495861755452939},{'mean_absolute_error': 0.38498063883693373},{'mean_absolute_error': 1.1159943068638183}
97,{'mean_absolute_error': 0.3198470469764409},{'mean_absolute_error': 1.149922922583257},{'mean_absolute_error': 0.34223488053496076},{'mean_absolute_error': 1.1570957235019388},{'mean_absolute_error': 0.41080555537657765},{'mean_absolute_error': 1.0959717046116046}
98,{'mean_absolute_error': 0.31373653178630395},{'mean_absolute_error': 1.1558971960500304},{'mean_absolute_error': 0.3311837141336644},{'mean_absolute_error': 1.1025282386818094},{'mean_absolute_error': 0.33649916396786783},{'mean_absolute_error': 1.1227368794901473}
99,{'mean_absolute_error': 0.32325902965172565},{'mean_absolute_error': 1.1266126794790496},{'mean_absolute_error': 0.37265952219706433},{'mean_absolute_error': 1.1309524690938113},{'mean_absolute_error': 0.3296247830378375},{'mean_absolute_error': 1.109550030140253}
100,{'mean_absolute_error': 0.31756133021338917},{'mean_absolute_error': 1.1509359747721783},{'mean_absolute_error': 0.33583522036006064},{'mean_absolute_error': 1.1118285597662971},{'mean_absolute_error': 0.32284270670816306},{'mean_absolute_error': 1.1136405536656824}
101,{'mean_absolute_error': 0.3463074363335957},{'mean_absolute_error': 1.1753356645502557},{'mean_absolute_error': 0.37403335625017753},{'mean_absolute_error': 1.1223511047590313},{'mean_absolute_error': 0.32076068695172594},{'mean_absolute_error': 1.0925511635024896}
102,{'mean_absolute_error': 0.34986422086950986},{'mean_absolute_error': 1.1778497903255654},{'mean_absolute_error': 0.3535587928560864},{'mean_absolute_error': 1.1324593445224762},{'mean_absolute_error': 0.35683836360498117},{'mean_absolute_error': 1.1319820150870954}
103,{'mean_absolute_error': 0.33081820916754473},{'mean_absolute_error': 1.1510664589459383},{'mean_absolute_error': 0.3384893075767602},{'mean_absolute_error': 1.118403619260682},{'mean_absolute_error': 0.3739062550025619},{'mean_absolute_error': 1.1017849410127483}
104,{'mean_absolute_error': 0.3460739532238173},{'mean_absolute_error': 1.1661184665819073},{'mean_absolute_error': 0.353219425668251},{'mean_absolute_error': 1.1284865308264511},{'mean_absolute_error': 0.4659860926539326},{'mean_absolute_error': 1.1618551520583527}
105,{'mean_absolute_error': 0.32139193104334973},{'mean_absolute_error': 1.165012784681061},{'mean_absolute_error': 0.3616026719443216},{'mean_absolute_error': 1.1610962571291599},{'mean_absolute_error': 0.32913778705705876},{'mean_absolute_error': 1.075708232403771}
