,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
90,{'mean_absolute_error': 1.8727822980910218},{'mean_absolute_error': 2.2966579799530256},{'mean_absolute_error': 1.9532996328832755},{'mean_absolute_error': 2.4154282549180204},{'mean_absolute_error': 3.9218708216263156},{'mean_absolute_error': 5.973946599836544}
91,{'mean_absolute_error': 2.2578802172394745},{'mean_absolute_error': 2.486603892240632},{'mean_absolute_error': 1.7526431422268283},{'mean_absolute_error': 1.941418324134318},{'mean_absolute_error': 1.861262496668984},{'mean_absolute_error': 4.033982565208225}
92,{'mean_absolute_error': 1.7217615586998511},{'mean_absolute_error': 2.042135432029504},{'mean_absolute_error': 1.754257607104644},{'mean_absolute_error': 2.1659393018786512},{'mean_absolute_error': 1.9417642118390017},{'mean_absolute_error': 4.335545879843251}
93,{'mean_absolute_error': 1.851457512994683},{'mean_absolute_error': 2.1942422637063066},{'mean_absolute_error': 1.7612811394238062},{'mean_absolute_error': 2.1464952190813715},{'mean_absolute_error': 1.8638867963777273},{'mean_absolute_error': 4.145094832122039}
94,{'mean_absolute_error': 1.8108225169239653},{'mean_absolute_error': 2.1739733512814694},{'mean_absolute_error': 1.8173598912872846},{'mean_absolute_error': 1.9868027735702862},{'mean_absolute_error': 1.9453608244725502},{'mean_absolute_error': 4.234652528443174}
95,{'mean_absolute_error': 1.7813125032964359},{'mean_absolute_error': 2.142006028816633},{'mean_absolute_error': 1.783997771029212},{'mean_absolute_error': 2.198157817317865},{'mean_absolute_error': 2.546424668831617},{'mean_absolute_error': 4.793362321031984}
96,{'mean_absolute_error': 1.7282461154194138},{'mean_absolute_error': 2.098080527511852},{'mean_absolute_error': 1.7006811467171878},{'mean_absolute_error': 1.921470770027947},{'mean_absolute_error': 2.602458807088118},{'mean_absolute_error': 4.98504082058137}
97,{'mean_absolute_error': 1.809168627564646},{'mean_absolute_error': 2.185294480802819},{'mean_absolute_error': 1.825075119560107},{'mean_absolute_error': 2.252497876654028},{'mean_absolute_error': 1.9225930691215722},{'mean_absolute_error': 4.322799347402327}
98,{'mean_absolute_error': 2.0138335639694116},{'mean_absolute_error': 2.51613568073339},{'mean_absolute_error': 1.8232147635402556},{'mean_absolute_error': 2.1969034948437707},{'mean_absolute_error': 1.88214384911882},{'mean_absolute_error': 4.338483115327246}
99,{'mean_absolute_error': 1.8840078031867022},{'mean_absolute_error': 2.2219928400387987},{'mean_absolute_error': 1.8390155766296363},{'mean_absolute_error': 1.9767212491124884},{'mean_absolute_error': 2.1496874652390137},{'mean_absolute_error': 4.6958118834491565}
100,{'mean_absolute_error': 1.80807494398112},{'mean_absolute_error': 2.0824962212275278},{'mean_absolute_error': 1.8175632775421677},{'mean_absolute_error': 2.210325411977073},{'mean_absolute_error': 2.040144228857074},{'mean_absolute_error': 4.6069026001522335}
101,{'mean_absolute_error': 1.996967758095086},{'mean_absolute_error': 2.3881590772799135},{'mean_absolute_error': 1.7441503894947834},{'mean_absolute_error': 2.0304753758546807},{'mean_absolute_error': 1.7279800523579119},{'mean_absolute_error': 4.472948880353348}
102,{'mean_absolute_error': 1.7419265332556446},{'mean_absolute_error': 2.1684825126295486},{'mean_absolute_error': 2.0105053823881747},{'mean_absolute_error': 1.9945147464475206},{'mean_absolute_error': 1.7488737147909672},{'mean_absolute_error': 4.107086843626134}
103,{'mean_absolute_error': 1.7056250397806565},{'mean_absolute_error': 2.111122065630933},{'mean_absolute_error': 1.9378217493891887},{'mean_absolute_error': 2.2956270294361034},{'mean_absolute_error': 1.6773534218647146},{'mean_absolute_error': 4.237902493140163}
104,{'mean_absolute_error': 1.7030052689723782},{'mean_absolute_error': 2.0897513593007764},{'mean_absolute_error': 1.7602669122531878},{'mean_absolute_error': 2.105286706119115},{'mean_absolute_error': 2.029564680528264},{'mean_absolute_error': 4.803002303418374}
105,{'mean_absolute_error': 1.76918601026306},{'mean_absolute_error': 2.1597723896213994},{'mean_absolute_error': 1.7067246351303489},{'mean_absolute_error': 1.8813788894437322},{'mean_absolute_error': 1.7626288421957539},{'mean_absolute_error': 4.672919929178101}
106,{'mean_absolute_error': 1.7837659691608012},{'mean_absolute_error': 2.277935884086984},{'mean_absolute_error': 1.8198592953924193},{'mean_absolute_error': 1.9293344694821803},{'mean_absolute_error': 1.6281823902489225},{'mean_absolute_error': 4.282064141818339}
107,{'mean_absolute_error': 1.7040179383724507},{'mean_absolute_error': 2.19482608959205},{'mean_absolute_error': 1.7869396197345535},{'mean_absolute_error': 2.202659364158845},{'mean_absolute_error': 1.6485787132329588},{'mean_absolute_error': 4.531856595942994}
