,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,,,,,,,,,,,,,,,,,,
158,2.828482058,7.323642374,1.066124568,0.095679232,3.045098214,7.960613761,1.081145818,0.093535061,,,,,,,,,,,,,,,,,,
159,2.828742216,7.324892061,1.065726257,0.09560833,3.045240901,7.961679917,1.080548438,0.093494348,,,,,,,,,,,,,,,,,,
160,2.82867305,7.324911038,1.0654757,0.095632411,3.045094707,7.961506265,1.080278382,0.093499475,,,,,,,,,,,,,,,,,,
161,2.828146743,7.323355416,1.06552477,0.095560045,3.045081459,7.960794129,1.080992314,0.093457935,,,,,,,,,,,,,,,,,,
162,2.827761162,7.322848103,1.064893881,0.095541503,3.044664513,7.960442765,1.080107419,0.093443355,,,,,,,,,,,,,,,,,,
163,2.827663095,7.322164594,1.065281701,0.09554299,3.044633064,7.959458653,1.081017561,0.093422978,,,,,,,,,,,,,,,,,,
164,2.827131819,7.321674192,1.064206844,0.095514421,3.044091175,7.959305105,1.079559567,0.093408854,,,,,,,,,,,,,,,,,,
165,2.826748066,7.320734836,1.064013626,0.095495736,3.043964068,7.959119971,1.079380224,0.093392009,,,,,,,,,,,,,,,,,,
166,2.826560221,7.320354701,1.063826109,0.095499854,3.043709975,7.958401033,1.079340216,0.093388674,,,,,,,,,,,,,,,,,,
167,2.826245561,7.319452023,1.063794152,0.095490508,3.043223978,7.957225874,1.079068706,0.093377355,,,,,,,,,,,,,,,,,,
168,2.825928604,7.319110933,1.06325946,0.09541542,3.043142455,7.956858392,1.079221022,0.093347949,,,,,,,,,,,,,,,,,,
169,2.825416576,7.317659256,1.063198855,0.095391617,3.043010988,7.956133323,1.079577608,0.093322032,,,,,,,,,,,,,,,,,,
170,2.825399006,7.317761787,1.063060215,0.095375015,3.042919391,7.955973535,1.079486323,0.093298316,,,,,,,,,,,,,,,,,,
171,2.825126031,7.317405542,1.062603601,0.09536895,3.042450279,7.955407585,1.078662153,0.093281101,,,,,,,,,,,,,,,,,,
172,2.824921628,7.316915506,1.062474442,0.095374936,3.042164926,7.954798769,1.078414918,0.093281093,,,,,,,,,,,,,,,,,,
173,2.824767222,7.316561666,1.062397484,0.095342516,3.041990762,7.954334999,1.078375258,0.09326203,,,,,,,,,,,,,,,,,,
174,2.824114369,7.314834357,1.062242175,0.095266575,3.041999285,7.953469688,1.079286777,0.09324139,,,,,,,,,,,,,,,,,,
175,2.82385472,7.314497653,1.061702782,0.095363724,3.041404826,7.952616989,1.078340376,0.093257114,,,,,,,,,,,,,,,,,,
176,2.823281943,7.313272699,1.06130161,0.095271521,3.041109285,7.952148813,1.077970266,0.093208777,,,,,,,,,,,,,,,,,,
177,2.823279689,7.313353502,1.061234545,0.09525102,3.041125518,7.952133581,1.078052294,0.093190681,,,,,,,,,,,,,,,,,,
178,2.823127165,7.313175897,1.060976234,0.095229363,3.040818011,7.951617081,1.077658404,0.093178548,,,,,,,,,,,,,,,,,,
179,2.823007325,7.312885559,1.060928652,0.095207763,3.040606869,7.951207905,1.077455791,0.09315691,,,,,,,,,,,,,,,,,,
180,2.822288567,7.311139909,1.060549241,0.095176552,3.040058448,7.949770275,1.077277705,0.093127364,,,,,,,,,,,,,,,,,,
181,2.822119726,7.31103157,1.060166912,0.095160695,3.039999845,7.949653025,1.077230425,0.093116084,,,,,,,,,,,,,,,,,,
182,2.821615932,7.309621709,1.060101559,0.095124527,3.039898328,7.948725506,1.077872594,0.093096883,,,,,,,,,,,,,,,,,,
183,2.821438188,7.309070392,1.060150582,0.09509359,3.040007469,7.948942342,1.078018946,0.093061119,,,,,,,,,,,,,,,,,,
184,2.821288166,7.30942643,1.059353776,0.095084292,3.03967828,7.948751912,1.077218382,0.093064546,,,,,,,,,,,,,,,,,,
185,2.82097302,7.308361709,1.059472579,0.095084772,3.039603569,7.947907464,1.077850243,0.093053001,,,,,,,,,,,,,,,,,,
186,2.820899883,7.308669143,1.058903249,0.095127258,3.039260775,7.948059581,1.076666513,0.09305623,,,,,,,,,,,,,,,,,,
187,2.820523729,7.307908875,1.058613948,0.095048364,3.039091701,7.947509732,1.07673671,0.09302866,,,,,,,,,,,,,,,,,,
188,2.820232339,7.307255728,1.058444887,0.094996402,3.0388788,7.947355175,1.076284669,0.092996556,,,,,,,,,,,,,,,,,,
189,2.819945248,7.306689192,1.058168006,0.094978545,3.038864009,7.946815561,1.076799853,0.092976614,,,,,,,,,,,,,,,,,,
190,2.819718728,7.306317699,1.057887864,0.09495062,3.038772002,7.946876269,1.076480527,0.09295921,,,,,,,,,,,,,,,,,,
191,2.819460854,7.305555801,1.057882645,0.094944117,3.038344853,7.946268153,1.075818637,0.09294777,,,,,,,,,,,,,,,,,,
192,2.819400692,7.304940498,1.058352907,0.094908673,3.038790551,7.945984389,1.077452948,0.092934315,,,,,,,,,,,,,,,,,,
193,2.819034994,7.30469642,1.057450473,0.094958089,3.038016432,7.944866202,1.076244833,0.092938259,,,,,,,,,,,,,,,,,,
194,2.818555769,7.303400414,1.057398934,0.094867958,3.037498531,7.944081587,1.075513667,0.092900339,,,,,,,,,,,,,,,,,,
195,2.818109241,7.302576934,1.05689776,0.09485303,3.037223055,7.943210746,1.075573807,0.092884613,,,,,,,,,,,,,,,,,,
196,2.817870691,7.301909866,1.056853191,0.094849015,3.037293046,7.943055526,1.075960522,0.09286309,,,,,,,,,,,,,,,,,,
