,train_scores,valid_scores
374,{'rms_score': 3.6466381437679685},{'rms_score': 9.399452135245953}
375,{'rms_score': 3.767278680177363},{'rms_score': 9.457194180797982}
376,{'rms_score': 3.913650506166997},{'rms_score': 9.457681860950423}
377,{'rms_score': 5.836540353612668},{'rms_score': 9.469214333150205}
378,{'rms_score': 7.027924809229661},{'rms_score': 9.50583980601243}
379,{'rms_score': 6.438667235701412},{'rms_score': 9.4527102650752}
380,{'rms_score': 5.865364307022522},{'rms_score': 9.475514587389133}
381,{'rms_score': 4.649160390749444},{'rms_score': 9.504609972908472}
382,{'rms_score': 4.2456899580429015},{'rms_score': 9.461469100091792}
383,{'rms_score': 4.678834775264043},{'rms_score': 9.59651460625407}
384,{'rms_score': 4.447719746131779},{'rms_score': 9.520347469054911}
385,{'rms_score': 3.6999676706565046},{'rms_score': 9.388716716011082}
386,{'rms_score': 3.4346266175987084},{'rms_score': 9.384251719074223}
387,{'rms_score': 3.7888628630254093},{'rms_score': 9.435714671724545}
388,{'rms_score': 4.223724022027202},{'rms_score': 9.556518003650732}
389,{'rms_score': 3.708106360000655},{'rms_score': 9.417421399907953}
390,{'rms_score': 4.376567788504262},{'rms_score': 9.448827920961309}
391,{'rms_score': 4.628707473926988},{'rms_score': 9.4330991466732}
392,{'rms_score': 3.7211849305142732},{'rms_score': 9.313965352176094}
393,{'rms_score': 4.441767737212758},{'rms_score': 9.402711275007146}
394,{'rms_score': 5.041313691126062},{'rms_score': 9.39083934554072}
395,{'rms_score': 3.8877058119640004},{'rms_score': 9.356207759772303}
